,LOCATION_N,Total_pop_,Totalpop_served,Males_served,Males_served_Under5,Males_served_Under18,Males_served_Over65,Females_served,Females_served_Under5,Females_served_Under18,Females_served_Over65,ASSET_SIZE,Totalpop_served_norm,Males_served_norm,Males_served_Under5_norm,Males_served_Under18_norm,Males_served_Over65_norm,Females_served_norm,Females_served_Under5_norm,Females_served_Under18_norm,Females_served_Over65_norm,Under5_served,Under5_served_norm,Under18_served,Under18_served_norm,Over65_served,Over65_served_norm,Park_Name
0,A.B. Dittmar Neighborhood Park,6628,605,310,29,63,21,295,9,34,27,12.69,47,24,2,5,1,23,0,2,2,39,3,98,7,48,3,A.B. Dittmar Neighborhood Park
1,Adams-Hemphill Neighborhood Park,16830,3294,1450,0,31,47,1844,44,120,1,9.31,353,155,0,3,5,198,4,12,0,45,4,152,16,49,5,Adams-Hemphill Neighborhood Park
2,Agave Neighborhood Park,4529,805,396,60,154,14,409,56,175,19,16.36,49,24,3,9,0,25,3,10,1,116,7,329,20,33,2,Agave Neighborhood Park
3,Alamo Pocket Park,2888,115,67,3,3,2,47,0,0,7,1.82,63,37,1,1,1,26,0,0,4,3,1,3,1,10,5,Alamo Pocket Park
4,Alderbrook Pocket Park,3241,351,146,7,16,0,204,14,30,25,1.9,184,77,3,8,0,107,7,16,13,21,11,47,24,25,13,Alderbrook Pocket Park
5,Andrews School Park,2818,163,85,9,16,11,77,14,23,17,3.27,49,26,2,4,3,23,4,7,5,23,7,40,12,28,8,Andrews School Park
6,Archstone Pocket Park,2377,173,109,17,20,0,63,6,11,2,0.53,326,207,32,39,0,119,13,21,4,23,45,31,60,2,4,Archstone Pocket Park
7,Armadillo Neighborhood Park,6546,1047,527,26,85,66,520,63,116,71,3.046,343,173,8,28,21,170,20,38,23,90,29,201,66,138,45,Armadillo Neighborhood Park
8,Astor Place Greenbelt,20046,5349,2418,113,403,277,2930,112,521,433,1.442,3709,1677,79,279,192,2032,77,361,300,226,156,925,641,711,493,Astor Place Greenbelt
9,Auditorium Shores at Town Lake Metro Park,18537,3948,2155,18,72,160,1793,50,115,175,48.57836784,81,44,0,1,3,36,1,2,3,69,1,187,3,336,6,Auditorium Shores at Town Lake Metro Park
10,Austin High Tennis Center,8972,407,206,3,15,11,200,11,16,18,3.22,126,64,1,4,3,62,3,5,5,14,4,31,9,30,9,Austin High Tennis Center
11,Austin Recreation Center,10236,334,195,2,5,23,139,8,13,17,5.48733039,60,35,0,1,4,25,1,2,3,10,1,19,3,40,7,Austin Recreation Center
12,Bailey Neighborhood Park,2977,358,183,10,33,15,174,15,46,6,2.299,155,79,4,14,6,76,6,20,2,25,11,80,34,22,9,Bailey Neighborhood Park
13,Balcones District Park,11842,2662,1399,106,226,68,1262,46,173,153,51.69,51,27,2,4,1,24,0,3,2,152,2,400,7,222,4,Balcones District Park
14,Barrington School Park,7864,392,243,4,52,5,149,12,44,7,8.02,48,30,0,6,0,18,1,5,0,17,2,96,11,13,1,Barrington School Park
15,Barrow Nature Preserve,4900,1379,647,24,146,101,732,29,164,154,7.5374,182,85,3,19,13,97,3,21,20,53,7,310,41,256,33,Barrow Nature Preserve
16,Bartholomew District Park,12152,3142,1557,102,267,101,1585,126,278,213,50.59388057,62,30,2,5,2,31,2,5,4,229,4,546,10,314,6,Bartholomew District Park
17,Barton Creek Greenbelt,55268,24826,12180,713,2579,1080,12645,784,2577,1354,838.75934835,29,14,0,3,1,15,0,3,1,1498,1,5156,6,2434,2,Barton Creek Greenbelt
18,Barton Creek Wilderness Park,28333,12298,6101,346,1503,656,6196,374,1476,823,1120.26484727,10,5,0,1,0,5,0,1,0,721,0,2980,2,1480,1,Barton Creek Wilderness Park
19,Barton Hills School Park,3589,202,107,8,15,12,94,7,17,8,4.76,42,22,1,3,2,19,1,3,1,16,3,32,6,20,4,Barton Hills School Park
20,Battlebend Springs Neighborhood Park,5149,510,261,23,70,11,249,16,54,19,4.91,103,53,4,14,2,50,3,11,4,39,8,125,25,31,6,Battlebend Springs Neighborhood Park
21,Bauerle Ranch at Slaughter Creek Greenbelt,39244,16842,8426,605,2039,704,8416,521,1819,692,322.59,52,26,1,6,2,26,1,5,2,1127,3,3859,11,1397,4,Bauerle Ranch at Slaughter Creek Greenbelt
22,Bellingham Meadows Greenbelt,8421,3128,1652,150,468,109,1475,197,441,107,22.3262,140,74,6,20,4,66,8,19,4,348,15,909,40,216,9,Bellingham Meadows Greenbelt
23,Beverly S. Sheffield Northwest District Park,12216,2583,1287,148,267,157,1296,99,272,209,31.14,82,41,4,8,5,41,3,8,6,248,7,539,17,367,11,Beverly S. Sheffield Northwest District Park
24,Big Stacy Neighborhood Park,3134,711,347,25,57,36,363,12,39,53,4.4178,160,78,5,13,8,82,2,9,12,37,8,97,22,89,20,Big Stacy Neighborhood Park
25,Big Walnut Creek Nature Preserve,23320,433,206,22,69,12,227,15,59,15,47.9502,9,4,0,1,0,4,0,1,0,37,0,128,2,28,0,Big Walnut Creek Nature Preserve
26,Blunn Creek Greenbelt,26975,15803,8393,281,896,766,7409,287,803,836,13.33355865,1185,629,21,67,57,555,21,60,62,569,42,1700,127,1603,120,Blunn Creek Greenbelt
27,Blunn Creek Nature Preserve,12394,3735,1908,68,177,163,1827,99,239,156,38.52,96,49,1,4,4,47,2,6,4,167,4,417,10,320,8,Blunn Creek Nature Preserve
28,Boggy Creek Greenbelt,26932,16460,8019,533,1615,715,8441,624,1538,1168,48.830154,337,164,10,33,14,172,12,31,23,1158,23,3154,64,1884,38,Boggy Creek Greenbelt
29,Bolm District Park,3465,839,393,10,82,32,445,43,81,58,68.162,12,5,0,1,0,6,0,1,0,53,0,164,2,91,1,Bolm District Park
30,Brentwood Neighborhood Park,4928,735,346,29,67,21,388,4,78,55,9.25,79,37,3,7,2,41,0,8,6,34,3,146,15,77,8,Brentwood Neighborhood Park
31,Brownie Neighborhood Park,8744,1494,836,54,268,11,658,86,196,24,8.287244,180,100,6,32,1,79,10,23,2,140,16,464,56,35,4,Brownie Neighborhood Park
32,Brush Square (O. Henry Museum),4109,170,108,0,0,8,62,0,0,8,1.752275,97,61,0,0,5,35,0,0,4,0,0,0,0,16,9,Brush Square (O. Henry Museum)
33,Brush Square Triangle,1578,38,17,1,4,4,20,1,3,4,1.0,38,17,1,4,4,20,1,3,4,2,2,8,8,8,8,Brush Square Triangle
34,Brushy Creek Greenbelt,22565,9063,4264,399,1508,234,4798,375,1829,380,51.470217,176,82,7,29,4,93,7,35,7,775,15,3338,64,614,11,Brushy Creek Greenbelt
35,Bull Creek District Park,7763,1348,710,44,129,87,638,14,112,79,47.3,28,15,0,2,1,13,0,2,1,59,1,242,5,166,3,Bull Creek District Park
36,"Burnett ""Blondie"" Pharr Tennis Center",6655,566,269,20,47,17,297,15,45,34,8.45,67,31,2,5,2,35,1,5,4,36,4,93,11,52,6,"Burnett ""Blondie"" Pharr Tennis Center"
37,Buttermilk Branch Greenbelt,37440,17339,9742,900,2834,422,7597,649,2231,530,4.00384587,4330,2433,224,707,105,1897,162,557,132,1549,387,5066,1265,952,237,Buttermilk Branch Greenbelt
38,Buttermilk Neighborhood Park,9872,2150,1183,124,356,37,967,101,361,56,16.60250868,129,71,7,21,2,58,6,21,3,225,13,717,43,94,5,Buttermilk Neighborhood Park
39,Caldwell Treaty Oak Park,3827,120,58,0,2,5,62,3,3,6,0.308085,390,188,1,9,16,202,10,12,22,3,11,6,22,11,38,Caldwell Treaty Oak Park
40,Canyon Vista Pool,4422,74,38,0,12,2,35,1,7,3,0.47907723,155,81,1,26,5,74,2,16,6,1,3,20,43,5,11,Canyon Vista Pool
41,Caswell Tennis Center,5434,1177,808,14,25,4,369,4,10,2,3.06,384,264,4,8,1,120,1,3,0,18,6,35,11,6,2,Caswell Tennis Center
42,Central Maintenance Complex at Town Lake Metro Park,9025,527,304,7,32,4,222,6,59,7,9.21592622,57,33,0,3,0,24,0,6,0,13,1,92,9,12,1,Central Maintenance Complex at Town Lake Metro Park
43,Cherry Creek Neighborhood Park,5069,525,252,17,56,21,273,17,29,32,10.25,51,24,1,5,2,26,1,2,3,34,3,85,8,53,5,Cherry Creek Neighborhood Park
44,Cherrywood Pocket Park,3268,177,82,3,8,4,94,2,14,3,0.516,343,160,5,17,8,182,5,28,6,5,11,23,45,7,15,Cherrywood Pocket Park
45,Chestnut Pocket Park,1611,164,109,1,5,0,54,5,8,3,0.6082,270,180,2,8,1,90,9,13,5,7,11,13,21,4,7,Chestnut Pocket Park
46,Circle C Ranch on Slaughter Creek,46731,16511,8246,648,2562,595,8264,402,2100,801,591.5715,27,13,1,4,1,13,0,3,1,1050,1,4662,7,1396,2,Circle C Ranch on Slaughter Creek
47,City of Austin/YMCA North Austin Community Recreation Center,8534,1735,972,52,279,18,763,84,231,34,6.997,248,138,7,39,2,109,12,33,4,136,19,511,73,53,7,City of Austin/YMCA North Austin Community Recreation Center
48,Civitan Neighborhood Park,11050,724,372,41,125,33,351,31,83,35,7.12,101,52,5,17,4,49,4,11,4,73,10,208,29,68,9,Civitan Neighborhood Park
49,Colony Park District Park,16295,3592,1717,221,625,89,1874,155,550,85,91.79060585,39,18,2,6,0,20,1,5,0,376,4,1176,12,174,1,Colony Park District Park
50,Colorado River Greenbelt,10495,1566,764,23,170,63,802,74,161,110,8.475,184,90,2,20,7,94,8,19,13,98,11,332,39,173,20,Colorado River Greenbelt
51,Colorado River Park WIldlife Sanctuary,13029,968,489,20,80,46,478,11,72,30,43.331,22,11,0,1,1,11,0,1,0,31,0,153,3,77,1,Colorado River Park WIldlife Sanctuary
52,Colorado/Walnut Greenbelt,19591,2947,1865,83,327,67,1081,80,292,102,99.663,29,18,0,3,0,10,0,2,1,164,1,619,6,169,1,Colorado/Walnut Greenbelt
53,Comal Pocket Park,1025,99,53,1,5,4,45,7,14,1,0.97071,102,55,1,5,5,47,7,15,1,9,9,20,21,6,6,Comal Pocket Park
54,Commons Ford Ranch Metro Park,19188,2936,1399,103,486,135,1537,102,485,170,215.235,13,6,0,2,0,7,0,2,0,206,0,972,4,305,1,Commons Ford Ranch Metro Park
55,Conley-Guerrero Senior Activity Center,5636,471,214,18,72,18,256,13,60,25,2.43782134,193,88,7,29,7,105,5,24,10,32,13,132,54,44,18,Conley-Guerrero Senior Activity Center
56,Convict Hill Quarry Neighborhood Park,4830,363,168,14,46,10,194,1,41,26,2.814,129,59,5,16,3,69,0,14,9,16,5,87,31,37,13,Convict Hill Quarry Neighborhood Park
57,Cook School Park,5988,409,214,25,44,20,195,10,36,19,7.69,53,27,3,5,2,25,1,4,2,35,4,80,10,40,5,Cook School Park
58,Copperfield Neighborhood Park,11639,714,361,21,67,18,352,29,75,26,4.62,154,78,4,14,3,76,6,16,5,51,11,142,30,44,9,Copperfield Neighborhood Park
59,Country Club Creek Greenbelt,28104,18653,10189,580,1825,345,8463,772,2177,334,41.843,445,243,13,43,8,202,18,52,8,1352,32,4002,95,680,16,Country Club Creek Greenbelt
60,Covert Park at Mount Bonnell,5965,208,97,3,23,21,111,9,22,23,5.54,37,17,0,4,3,20,1,4,4,13,2,46,8,44,8,Covert Park at Mount Bonnell
61,Crestland Triangle,4041,205,117,8,16,2,87,8,21,1,0.457,448,256,18,35,5,191,18,46,2,16,36,37,81,3,7,Crestland Triangle
62,Cunningham School Park,4448,225,89,11,22,5,135,6,13,22,3.55,63,25,3,6,1,38,1,3,6,17,4,36,10,28,8,Cunningham School Park
63,Davis Hill Neighborhood Park,11814,734,344,21,82,21,389,9,39,43,8.36,87,41,2,9,2,46,1,4,5,30,3,122,14,64,7,Davis Hill Neighborhood Park
64,Davis Spring Special Park,9399,693,352,41,113,17,340,26,93,39,14.472,47,24,2,7,1,23,1,6,2,67,4,206,14,56,3,Davis Spring Special Park
65,Davis/White Northeast Neighborhood Park,9836,382,201,30,77,11,180,11,57,26,19.55157,19,10,1,3,0,9,0,2,1,41,2,135,6,37,1,Davis/White Northeast Neighborhood Park
66,Decker Tallgrass Prairie Preserve,1043,136,67,8,17,1,69,0,21,1,347.9910643,0,0,0,0,0,0,0,0,0,8,0,39,0,3,0,Decker Tallgrass Prairie Preserve
67,Deer Park at Maple Run Preserve,18223,2120,1072,80,291,58,1048,41,205,85,24.278,87,44,3,12,2,43,1,8,3,122,5,497,20,143,5,Deer Park at Maple Run Preserve
68,Dick Nichols District Park,20674,4127,2037,227,584,121,2090,117,415,209,140.1464,29,14,1,4,0,14,0,2,1,344,2,1000,7,331,2,Dick Nichols District Park
69,Doss School Park,1809,199,85,0,17,15,113,1,22,25,6.2,32,13,0,2,2,18,0,3,4,1,0,39,6,40,6,Doss School Park
70,Dottie Jordan Neighborhood Park,5469,865,461,41,72,46,403,45,103,63,11.45,75,40,3,6,4,35,3,9,5,86,7,176,15,110,9,Dottie Jordan Neighborhood Park
71,Dougherty Arts Center,5929,360,177,3,12,15,183,9,26,13,2.3400354,154,75,1,5,6,78,3,11,5,13,5,38,16,28,12,Dougherty Arts Center
72,Dove Springs District Park,6856,1082,596,61,127,27,485,11,136,33,59.001,18,10,1,2,0,8,0,2,0,72,1,264,4,61,1,Dove Springs District Park
73,Downs Mabson Fields,4298,696,332,30,77,26,364,9,47,29,9.97,69,33,3,7,2,36,0,4,3,39,3,124,12,55,5,Downs Mabson Fields
74,Dry Creek Greenbelt,15363,4025,2012,261,703,73,2013,159,743,90,6.1149,658,329,42,115,12,329,26,121,14,420,68,1446,236,164,26,Dry Creek Greenbelt
75,Duncan Neighborhood Park,9624,637,357,1,7,30,280,7,11,33,5.91,107,60,0,1,5,47,1,1,5,9,1,18,3,63,10,Duncan Neighborhood Park
76,Earl J. Pomerleau Pocket Park,3342,297,142,18,42,6,155,22,38,24,1.927,154,73,9,22,3,80,11,19,12,40,21,81,42,30,15,Earl J. Pomerleau Pocket Park
77,East Boggy Creek Greenbelt,16525,7500,3787,224,885,378,3712,233,862,446,75.1792,99,50,2,11,5,49,3,11,5,458,6,1747,23,825,10,East Boggy Creek Greenbelt
78,East Bouldin Creek Greenbelt,22894,9142,4795,154,400,341,4346,204,482,355,0.652,14022,7355,236,613,524,6666,314,740,545,359,551,882,1353,697,1069,East Bouldin Creek Greenbelt
79,Eastwoods Neighborhood Park,12846,1190,574,8,47,14,615,9,27,9,9.9,120,58,0,4,1,62,0,2,0,17,1,74,7,23,2,Eastwoods Neighborhood Park
80,Edward Rendon Sr. Metro Park at Festival Beach,12248,4455,2521,53,213,209,1933,62,223,284,72.86032804,61,34,0,2,2,26,0,3,3,115,1,436,5,493,6,Edward Rendon Sr. Metro Park at Festival Beach
81,Eilers (Deep Eddy) Neighborhood Park,7827,398,223,9,24,9,175,12,22,16,8.976415,44,24,1,2,1,19,1,2,1,21,2,47,5,25,2,Eilers (Deep Eddy) Neighborhood Park
82,Elizabet Ney Museum,7157,676,338,15,31,35,337,23,57,11,2.5482,265,133,5,12,13,132,9,22,4,38,14,89,34,46,18,Elizabet Ney Museum
83,Ellen Higgins Pocket Park,5468,156,62,7,12,2,93,7,17,7,0.61,255,102,12,21,3,153,11,28,11,14,24,30,49,9,15,Ellen Higgins Pocket Park
84,Emma Long Metro Park,26442,5402,2592,173,733,284,2809,148,724,314,1109.27531553,4,2,0,0,0,2,0,0,0,321,0,1458,1,598,0,Emma Long Metro Park
85,Forest North Neighborhood Park,1797,232,117,4,23,10,115,4,15,11,2.486,93,47,1,9,4,46,1,6,4,8,3,39,15,21,8,Forest North Neighborhood Park
86,Gaines Creek Neighborhood Park,10490,1019,498,25,62,74,520,29,86,105,37.92,26,13,0,1,1,13,0,2,2,54,1,148,3,180,4,Gaines Creek Neighborhood Park
87,Gaines Greenbelt,20980,4566,2388,203,388,170,2177,158,385,346,94.04,48,25,2,4,1,23,1,4,3,361,3,773,8,516,5,Gaines Greenbelt
88,Gaines Park at Barton Creek Greenbelt,10201,1679,773,38,155,75,906,38,181,133,6.0148,279,128,6,25,12,150,6,30,22,76,12,337,56,208,34,Gaines Park at Barton Creek Greenbelt
89,Garrison District Park,11421,2872,1314,130,273,99,1557,93,240,187,40.0,71,32,3,6,2,38,2,6,4,223,5,514,12,286,7,Garrison District Park
90,George Washington Carver Museum,1314,75,38,4,8,1,36,2,7,5,0.29825221,253,130,14,29,6,122,9,25,17,7,24,16,55,7,23,George Washington Carver Museum
91,Georgian Acres Neighborhood Park,8176,1362,749,39,103,50,613,9,172,34,4.997,272,150,8,20,10,122,1,34,6,49,9,276,55,84,16,Georgian Acres Neighborhood Park
92,Gillis Neighborhood Park,4116,666,394,23,38,32,271,13,30,38,7.8,85,50,2,4,4,34,1,3,4,36,4,68,8,70,9,Gillis Neighborhood Park
93,Givens District Park,13291,2555,1267,88,263,110,1287,66,257,154,41.43280472,61,30,2,6,2,31,1,6,3,155,3,520,12,264,6,Givens District Park
94,Goat Cave Karst Nature Preserve,8778,2467,1316,167,388,72,1150,26,127,104,14.86917361,165,88,11,26,4,77,1,8,7,194,13,515,34,177,11,Goat Cave Karst Nature Preserve
95,Govalle Neighborhood Park,5586,377,186,7,41,18,191,14,37,20,26.314,14,7,0,1,0,7,0,1,0,22,0,79,3,39,1,Govalle Neighborhood Park
96,Gracywoods Neighborhood Park,10191,1094,582,15,77,66,511,55,97,93,19.16894226,57,30,0,4,3,26,2,5,4,70,3,174,9,159,8,Gracywoods Neighborhood Park
97,Grand Meadow Neighborhood Park,10150,749,318,26,86,13,430,42,150,15,9.926,75,32,2,8,1,43,4,15,1,68,6,237,23,28,2,Grand Meadow Neighborhood Park
98,Great Hills Neighborhood Park,20405,6375,3255,316,729,346,3120,152,429,466,76.05124007,83,42,4,9,4,41,2,5,6,469,6,1158,15,812,10,Great Hills Neighborhood Park
99,Gregg Hill Pocket Park,3271,172,81,2,9,15,91,4,13,25,1.51,114,53,1,6,9,60,2,8,16,6,4,22,14,40,26,Gregg Hill Pocket Park
100,Grey Rock Golf Course,22231,9538,4813,380,1669,517,4725,341,1362,538,296.9573,32,16,1,5,1,15,1,4,1,721,2,3031,10,1056,3,Grey Rock Golf Course
101,Gullett School Park,3238,277,132,12,31,13,144,15,34,23,14.58,19,9,0,2,0,9,1,2,1,28,1,66,4,36,2,Gullett School Park
102,"Gustavo ""Gus"" L. Garcia District Park",23036,6078,3548,385,931,119,2529,231,810,227,47.271,128,75,8,19,2,53,4,17,4,617,13,1741,36,346,7,"Gustavo ""Gus"" L. Garcia District Park"
103,Hall/Goodnight Planting Strip,1937,196,104,9,19,12,92,0,13,10,1.229913,159,84,7,15,10,75,0,11,8,9,7,33,26,22,18,Hall/Goodnight Planting Strip
104,Hancock Golf Course,10762,3438,1746,30,155,132,1691,54,150,83,51.83,66,33,0,2,2,32,1,2,1,85,1,306,5,215,4,Hancock Golf Course
105,Harpers Branch Creek Greenbelt,23458,12351,6779,344,844,488,5571,173,627,527,1.6919,7300,4007,203,499,289,3293,102,370,311,517,306,1472,870,1016,600,Harpers Branch Creek Greenbelt
106,Harris Branch Neighborhood Park,6164,194,104,9,29,6,90,14,30,4,10.01,19,10,0,2,0,9,1,2,0,24,2,59,5,10,1,Harris Branch Neighborhood Park
107,Harris Triangle,1688,97,44,5,14,2,52,4,13,3,0.18,540,246,29,82,15,293,24,74,17,9,54,28,156,6,33,Harris Triangle
108,Hartford Planting Strip,2937,216,104,13,37,8,111,11,34,11,1.8588,116,56,7,20,4,60,6,18,6,25,13,71,38,20,10,Hartford Planting Strip
109,Hartford Triangle,2937,110,53,6,20,3,56,6,17,4,0.6,183,88,10,34,6,94,11,29,8,13,21,38,64,8,14,Hartford Triangle
110,Haskell House,2121,180,94,1,9,6,85,4,12,5,0.2405,750,393,7,40,28,357,17,52,23,6,24,22,92,12,52,Haskell House
111,Heath Eiland and Morgan Moss BMX Skate Park,8788,70,41,0,0,4,28,1,2,3,1.3186,53,31,0,0,3,21,1,1,3,1,1,3,2,8,6,Heath Eiland and Morgan Moss BMX Skate Park
112,Heritage Oaks Neighborhood Park,7203,909,546,21,77,35,363,35,89,30,3.527,257,155,6,21,10,102,9,25,8,56,16,166,47,65,18,Heritage Oaks Neighborhood Park
113,Hielscher Tract Greenbelt,25291,8428,4276,333,1481,319,4151,289,1328,416,66.58,126,64,5,22,4,62,4,19,6,622,9,2810,42,736,11,Hielscher Tract Greenbelt
114,Highland Neighborhood Park,5865,111,66,3,9,0,44,3,9,0,0.241,462,276,15,38,4,186,12,40,2,6,28,19,79,1,6,Highland Neighborhood Park
115,Hill School Park,1992,170,74,0,8,16,96,4,15,33,5.51,31,13,0,1,3,17,0,2,6,4,0,23,4,50,9,Hill School Park
116,Holly Shores at Town Lake Metro Park,8865,1109,526,22,108,30,583,11,104,83,17.619,62,29,1,6,1,33,0,5,4,34,1,212,12,113,6,Holly Shores at Town Lake Metro Park
117,Houston School Park,4655,456,220,15,71,9,235,15,84,11,8.74,52,25,1,8,1,26,1,9,1,31,3,155,17,21,2,Houston School Park
118,Hubert C. Schroeter Neighborhood Park,6365,892,490,47,79,84,401,42,64,54,12.08,73,40,3,6,6,33,3,5,4,90,7,144,11,138,11,Hubert C. Schroeter Neighborhood Park
119,International Shores at Town Lake Metro Park,5206,911,562,12,19,5,349,10,23,12,6.06263555,150,92,2,3,0,57,1,3,2,22,3,42,7,18,2,International Shores at Town Lake Metro Park
120,J.J. Seabrook Greenbelt,21165,7967,3558,310,607,373,4408,328,698,526,2.90116414,2746,1226,106,209,128,1519,113,240,181,638,220,1305,450,899,310,J.J. Seabrook Greenbelt
121,Janet Long Fish Park,8946,4964,2820,270,904,147,2143,209,642,152,27.872,178,101,9,32,5,76,7,23,5,480,17,1547,55,299,10,Janet Long Fish Park
122,Jimmy Clay Golf Course,23206,6777,3705,368,1156,154,3072,246,1005,153,203.11864411,33,18,1,5,0,15,1,4,0,614,3,2162,10,307,1,Jimmy Clay Golf Course
123,John Trevino Jr. Metro Park at Morrison Ranch,18837,4281,2481,163,524,76,1799,121,564,94,330.22,12,7,0,1,0,5,0,1,0,285,0,1088,3,171,0,John Trevino Jr. Metro Park at Morrison Ranch
124,Joslin Neighborhood Park,7293,438,197,9,19,20,241,14,36,58,5.89,74,33,1,3,3,40,2,6,9,24,4,55,9,79,13,Joslin Neighborhood Park
125,Kealing School Park,2452,379,195,22,44,9,183,14,38,26,14.91436275,25,13,1,2,0,12,0,2,1,37,2,82,5,35,2,Kealing School Park
126,Kendra Page Neighborhood Park,7001,1245,653,76,209,13,591,44,150,31,15.2491,81,42,5,13,0,38,2,9,2,121,7,359,23,44,2,Kendra Page Neighborhood Park
127,Kennemer Pool,6250,353,211,14,50,5,142,11,35,9,1.04,339,202,13,48,5,136,11,34,9,26,25,85,82,15,14,Kennemer Pool
128,Lakeline Neighborhood Park,5627,1284,617,16,105,68,666,9,91,117,10.45,122,59,1,10,6,63,0,8,11,26,2,196,18,185,17,Lakeline Neighborhood Park
129,Lakeshore at Town Lake Metro Park,4575,603,352,9,40,6,250,8,74,9,3.28252585,183,107,2,12,1,76,2,22,3,18,5,115,35,16,5,Lakeshore at Town Lake Metro Park
130,Lamar Beach at Town Lake Metro Park,16766,3249,1609,21,96,127,1640,77,127,179,65.40901382,49,24,0,1,1,25,1,1,2,99,1,224,3,306,4,Lamar Beach at Town Lake Metro Park
131,Lamar Senior Activity Center,3441,212,82,0,1,5,130,1,5,0,1.876,113,43,0,0,2,69,0,3,0,1,0,7,3,5,3,Lamar Senior Activity Center
132,Latta Branch Greenbelt,50460,26980,13113,1208,3430,988,13866,656,2721,1629,126.41990405,213,103,9,27,7,109,5,21,12,1865,14,6151,48,2618,20,Latta Branch Greenbelt
133,Lawrence Street Pocket Park,7417,331,170,26,62,10,160,25,54,8,0.9854,336,173,26,63,10,162,25,55,8,51,52,117,119,18,19,Lawrence Street Pocket Park
134,Legend Oaks Neighborhood Park,4582,382,194,15,60,16,187,6,30,30,7.3,52,26,2,8,2,25,0,4,4,21,2,91,12,46,6,Legend Oaks Neighborhood Park
135,Little Stacy Neighborhood Park,4668,744,370,12,59,41,374,19,37,44,6.7793,109,54,1,8,6,55,2,5,6,31,4,97,14,85,12,Little Stacy Neighborhood Park
136,Little Walnut Creek Greenbelt,35651,12251,5921,397,1400,500,6329,386,1494,736,205.806,59,28,1,6,2,30,1,7,3,783,3,2894,14,1236,6,Little Walnut Creek Greenbelt
137,Little Zilker Neighborhood Park,4887,776,445,53,109,28,330,12,42,24,4.57,169,97,11,23,6,72,2,9,5,65,14,151,33,52,11,Little Zilker Neighborhood Park
138,Longhorn Shores at Town Lake Metro Park,3924,570,318,9,41,7,252,6,66,15,10.63606158,53,29,0,3,0,23,0,6,1,15,1,108,10,23,2,Longhorn Shores at Town Lake Metro Park
139,Longview Neighborhood Park,5934,433,216,8,36,19,217,16,41,44,20.056,21,10,0,1,0,10,0,2,2,25,1,77,3,63,3,Longview Neighborhood Park
140,Lott Pocket Park,2192,156,81,8,16,3,74,6,15,10,1.12485569,138,72,7,15,3,66,5,13,9,14,13,32,28,14,12,Lott Pocket Park
141,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary,1043,245,120,15,32,2,124,0,39,3,290.6231989,0,0,0,0,0,0,0,0,0,15,0,71,0,5,0,Louis Ren̩ Barrera Indiangrass Wildlife Sanctuary
142,Lower Bull Creek Greenbelt,23617,10519,5223,283,1097,736,5295,140,1026,933,115.454,91,45,2,9,6,45,1,8,8,423,3,2123,18,1670,14,Lower Bull Creek Greenbelt
143,Lucy Read School Park,1061,235,134,0,1,21,100,9,15,12,5.14,45,26,0,0,4,19,1,3,2,9,1,17,3,34,6,Lucy Read School Park
